,0
144,34.27364
145,35.55102
146,35.835068
147,36.90034
148,36.78132
149,38.046257
150,36.883095
151,36.911076
152,32.813663
153,27.116976
154,24.191624
155,23.55874
156,23.345783
157,23.39259
158,21.719997
159,21.84694
160,21.873789
161,20.68695
162,20.803371
163,21.107227
164,21.176758
165,24.017923
166,26.451202
167,27.733551
168,30.492712
169,31.896868
170,31.82441
171,33.751316
172,32.88167
173,34.249744
174,31.894012
175,30.86367
176,30.321703
177,27.926514
178,26.586338
179,25.918833
180,25.86508
181,21.748735
182,21.666018
183,20.78282
184,20.045689
185,19.958658
186,19.646505
187,18.924934
188,22.300446
189,26.36529
190,29.907951
191,31.895369
192,34.290165
193,36.19457
194,37.416008
195,37.938663
196,38.301464
197,38.014183
198,37.138336
199,35.71234
200,32.99838
201,27.379745
202,23.84585
203,22.496323
204,23.706396
205,22.989496
206,20.696167
207,21.026802
208,19.511536
209,19.9505
210,21.175028
211,21.031126
212,23.46613
213,26.118916
214,29.809864
215,31.693478
216,34.04622
217,36.135963
218,37.339405
219,38.18578
220,38.254177
221,38.083958
222,38.35727
223,35.872215
224,31.83967
225,28.234291
226,24.420042
227,23.744682
228,22.340626
229,25.27054
230,23.962442
231,23.464016
232,22.190866
233,21.62814
234,21.854189
235,21.121931
236,22.431152
237,22.827187
238,23.814188
239,25.861197
240,28.146097
241,31.237679
242,33.45202
243,34.461
244,34.54013
245,35.64154
246,35.451923
247,33.229248
248,31.999294
249,27.456314
250,25.439034
251,24.793089
252,23.898224
253,23.537382
254,22.96389
255,22.647215
256,21.673243
257,20.529913
258,20.885136
259,21.139677
260,24.009258
261,26.637522
262,30.77628
263,33.273823
264,34.392975
265,35.665348
266,36.564114
267,36.127274
268,37.42455
269,37.28452
270,34.56333
271,31.995644
272,30.197485
273,27.043139
274,25.488274
275,24.23429
276,23.21946
277,21.738266
278,21.299608
279,20.471397
280,20.00014
281,19.949163
282,21.224396
283,20.185503
284,24.104362
285,26.398565
286,30.355179
287,32.419224
288,34.71464
289,35.50638
290,36.15204
291,37.079407
292,37.35313
293,37.10353
294,37.15651
295,35.718822
296,30.525259
297,28.086506
298,24.420622
299,23.738132
300,22.77902
301,23.02464
302,22.880682
303,22.014437
304,20.214394
305,20.654465
306,19.246992
307,19.072128
308,23.657349
309,27.442587
310,29.973083
311,31.815712
312,33.956264
313,35.34217
314,37.08806
315,37.130558
316,38.34478
317,38.59703
318,37.063843
319,37.13226
320,35.36578
321,31.599493
322,29.602476
323,26.625185
324,24.699854
325,24.381048
326,21.954924
327,22.666376
328,22.382654
329,22.487953
330,21.329733
331,23.490551
332,24.159922
333,27.603218
334,30.541136
335,33.98065
336,35.429768
337,36.764046
338,38.14029
339,38.85006
340,37.96691
341,37.876766
342,37.672047
343,36.75465
344,35.812645
345,31.841154
346,26.834011
347,26.104954
348,26.67004
349,24.72405
350,23.61249
351,24.2204
